,词语,次数
3196,左撇子,250
3197,r,250
3198,没想到,250
3199,贴画,250
3200,生吃贼,250
3201,醋溜,250
3202,白在,249
3203,爆哭,249
3204,致死量,249
3205,川菜馆,249
3206,碗筷,249
3207,早晨,249
3208,不该,249
3209,心态,249
3210,春节,249
3211,六月份,249
3212,暴热,249
3213,两次,248
3214,甏,248
3215,肉干,248
3216,出去玩,248
3217,宫殿,248
3218,吉祥村,248
3219,滴答,247
3220,溜溜球,247
3221,鳜鱼,247
3222,重看,247
3223,圆润,247
3224,美滋滋,246
3225,哈喇子,246
3226,「,246
3227,凝胶,246
3228,很快,246
3229,没找,246
3230,夜间,246
3231,蒸炉,246
3232,委屈,246
3233,好软,246
3234,萌芽,246
3235,说好,245
3236,荤菜,245
3237,次日,245
3238,打火机,245
3239,吸烟,245
3240,人士,245
3241,尤忌,245
3242,顶级,245
3243,我见,244
3244,快用,244
3245,地域,244
3246,黑说,244
3247,户籍地,244
3248,报上,244
3249,蓝天,244
3250,六必治,244
3251,要来,243
3252,花饭,243
3253,王一博,243
3254,劳资,243
3255,拜我为师,243
3256,拨开,243
3257,星河,243
3258,陷入,243
3259,浓,242
3260,毛线,242
3261,优雅,242
3262,过时,242
3263,脾气,242
3264,奖励,242
3265,劳布,242
3266,偷偷,241
3267,洗,241
3268,上班,241
3269,茶派,241
3270,滚开,241
3271,布是,241
3272,给力,240
3273,筋头,240
3274,巴脑,240
3275,´,240
3276,总脑,240
3277,体会,240
3278,脸布,240
3279,树枝,239
3280,老字号,238
3281,惨遭,238
3282,矫情,238
3283,久违,237
3284,OMG,237
3285,我嗦,237
3286,来到,236
3287,就行了,236
3288,煮熟,236
3289,画外音,236
3290,额额,236
3291,开头,235
3292,摆在,235
3293,好瘦,235
3294,武汉三镇,235
3295,熟聊,235
3296,大部分,234
3297,低音炮,234
3298,太饿,234
3299,boy,234
3300,第一,233
3301,南阳,233
3302,一战,233
3303,鹅鹅鹅鹅鹅鹅,233
3304,灶头,233
3305,青春,233
3306,搭,233
3307,油烟,233
3308,老夫,233
3309,虚假,232
3310,满头大汗,232
3311,不太好,232
3312,美汁,232
3313,作,231
3314,举报,231
3315,延禧,231
3316,攻略,231
3317,语塞,231
3318,温,231
3319,传送带,231
3320,重刷,231
3321,别遮着,231
3322,黄冈,231
3323,七孔,231
3324,鸡皮疙瘩,231
3325,真容,231
3326,一如,231
3327,两派,231
3328,阎王,231
3329,油闷,231
3330,聊天,230
3331,质朴,230
3332,爆发,230
3333,叫好,230
3334,凤仙花,230
3335,滚一滚,230
3336,企,230
3337,稳,230
3338,女娃,230
3339,感悟,230
3340,更深,230
3341,獨蒜,230
3342,独蒜配,230
3343,红烧,230
3344,一嗦,230
3345,吃酸,230
3346,鸭汤,230
3347,少说,230
3348,樹梢,230
3349,錯,230
3350,怎么回事,229
3351,咩,229
3352,好暖心,229
3353,留言,229
3354,烂,229
3355,盒子,229
3356,xs,229
3357,信息,229
3358,Boy,229
3359,受罪,229
3360,绝大部分,229
3361,真不知道,228
3362,超市,228
3363,广告费,228
3364,阆中,228
3365,烟酒,228
3366,水灵,228
3367,这口,228
3368,绿豆,228
3369,脸长,228
3370,不撑,228
3371,脏脏,228
3372,底哈,228
3373,瓦罐,227
3374,人太多,227
3375,悟,227
3376,腰包,227
3377,七十,227
3378,容光焕发,227
3379,黄字,227
3380,显,227
3381,格局,227
3382,牙医,227
3383,街后,226
3384,补肾,226
3385,眼子,226
3386,没完,226
3387,缠,226
3388,白布,226
3389,抢戏,226
3390,黑猫,226
3391,砂锅,225
3392,逛,225
3393,朱一龙,225
3394,战胜,225
3395,专治,225
3396,粗鲁,225
3397,多块,225
3398,很甜,224
3399,血统,224
3400,有鬼,224
3401,理想,224
3402,状态,224
3403,刘星,224
3404,真相,224
3405,我快,224
3406,老公,223
3407,嫩,223
3408,wa,223
3409,人笑,223
3410,长寿,223
3411,打光,223
3412,数一数二,223
3413,gll,223
3414,猴戏,223
3415,多一点,223
3416,喜迎,223
3417,电动车,223
3418,告辞,222
3419,押韵,222
3420,东莞,222
3421,有毒,222
3422,噩梦,222
3423,武理,222
3424,很脆,222
3425,第二次,222
3426,字正腔圆,222
3427,业配,222
3428,后天,222
3429,先码,222
3430,脱骨,222
3431,蒜味,221
3432,贵得,221
3433,种草,221
3434,好酸,221
3435,点菜,221
3436,雲南,221
3437,呼应,221
3438,照吃,221
3439,不误,221
3440,9.5,221
3441,巷骗,221
3442,peng,221
3443,速食,221
3444,解馋,221
3445,人想家,221
3446,一流,221
3447,恐怖,220
3448,投食,220
3449,捅,220
3450,李现,220
3451,雄起,220
3452,抗疫,220
3453,沔城,220
3454,莲花池,220
3455,水煮,220
3456,肉片,220
3457,套路,220
3458,生猛,220
3459,利滴,220
3460,汉毛,220
3461,李宁,220
3462,卤至,220
3463,识味,220
3464,牙齿,219
3465,工伤,219
3466,店铺,219
3467,吉首,219
3468,比喻,219
3469,左右为难,218
3470,平时,218
3471,十几年,218
3472,投个币,218
3473,泪,218
3474,老铁刷,218
3475,很尬,218
3476,一家亲,218
3477,就让,218
3478,蓝蓝,218
3479,量够,218
3480,胡,217
3481,稍,217
3482,银,217
3483,结帐,217
3484,湿冷,216
3485,活动,216
3486,胳膊,216
3487,威辣,216
3488,华为,216
3489,爱藕泥,216
3490,邪道,216
3491,词,216
3492,高冷,216
3493,要头,216
3494,料理,216
3495,仙姬,216
3496,她家,215
3497,下周,215
3498,拿出,215
3499,腐竹,215
3500,拉倒,215
3501,手上,215
3502,hjn,215
3503,名气,215
3504,完粉,215
3505,翔,215
3506,家餐,215
3507,吆喝,215
3508,再见,214
3509,逗我,214
3510,格拉,214
3511,十倍,214
3512,两口,214
3513,追求,214
3514,材质,214
3515,贴图,214
3516,腰子,214
3517,郭拉才,214
3518,齐活,214
3519,康康大,214
3520,华东,214
3521,乐夏,214
3522,泡饭,214
3523,阅,214
3524,马场,214
3525,学长,214
3526,鹌鹑蛋,213
3527,黑人,213
3528,喉风,213
3529,散,213
3530,商丘,213
3531,别问,213
3532,只不过,213
3533,配鸡,213
3534,jiojio,213
3535,没脑子,213
3536,母校,213
3537,几辈,213
3538,产藕地,213
3539,伤害性,213
3540,比比,213
3541,响,213
3542,水果,212
3543,豁,212
3544,果子,212
3545,葱头,212
3546,关键,212
3547,不值钱,212
3548,一晚,212
3549,糖拌,212
3550,西红柿,212
3551,有小根,212
3552,用面,212
3553,无机,212
3554,细节,212
3555,顶住,212
3556,菜刀,212
3557,面嘛,212
3558,冰硼散,211
3559,好恰,211
3560,聚众,211
3561,希毒,211
3562,渣滓,211
3563,这兔牙,211
3564,磕独头,211
3565,接,210
3566,还用,210
3567,嫌弃,210
3568,军工,210
3569,超过,210
3570,手势,210
3571,早饭,210
3572,汤头,210
3573,贛,210
3574,嘻嘻,209
3575,绝杀,209
3576,有心,209
3577,乐观,209
3578,进取,209
3579,团结友爱,209
3580,二字,209
3581,咋们,209
3582,看新,209
3583,曲折,209
3584,新手,209
3585,贸然,209
3586,只点,209
3587,例假,209
3588,日历,209
3589,调子,209
3590,H,208
3591,大伙,208
3592,宽粉,208
3593,Skr,208
3594,带有,208
3595,考验,208
3596,吃盐,208
3597,不多,208
3598,SOFM,208
3599,深深,208
3600,六点,208
3601,多拉,208
3602,打滚,208
3603,有白,208
3604,b2,208
3605,一吃,208
3606,挣钱,208
3607,粉别,208
3608,两是,208
3609,重视,208
3610,徐霜,208
3611,包扎,208
3612,随地,208
3613,存钱,208
3614,沙雕,207
3615,姿势,207
3616,大方,207
3617,难过,207
3618,打脸,207
3619,太远,207
3620,拳打,207
3621,操,207
3622,用手,207
3623,抓,207
3624,口香糖,207
3625,拿瓶,207
3626,陪,207
3627,闯,207
3628,9.1,207
3629,杜月,207
3630,刷刷,207
3631,早前,207
3632,偶,207
3633,热量,207
3634,多吃点,207
3635,不烂,207
3636,玉子家,207
3637,口腔科,207
3638,看一看,207
3639,耽误,207
3640,凉爽,207
3641,交朋友,207
3642,相处,207
3643,耍,207
3644,不打紧,207
3645,爆浆,207
3646,十三,207
3647,捕捉到,207
3648,红发,207
3649,几顿,207
3650,地地道道,207
3651,祝愿,207
3652,虎,207
3653,云梦泽,207
3654,老炮们,207
3655,藠头,206
3656,太苏,206
3657,年轻人,206
3658,找虐,206
3659,潮流,206
3660,亚亚,206
3661,高中同学,206
3662,改成,206
3663,了不起,206
3664,屋地,206
3665,宝莲灯,205
3666,加醋,205
3667,好奇,205
3668,倍,205
3669,刀速,205
3670,国际,205
3671,老姐,205
3672,黄衣服,205
3673,我哥,205
3674,奥楚蔑,205
3675,洛夫,205
3676,烧烤店,205
3677,獨頭,205
3678,有貌,205
3679,小龙虾,204
3680,点头,204
3681,就行,204
3682,太值,204
3683,新化,204
3684,红汤,204
3685,毒奶,204
3686,饺绝,204
3687,配合,204
3688,劲像,204
3689,摊主,204
3690,收,204
3691,器材,204
3692,回过头来,204
3693,正片,203
3694,杀掉,203
3695,我慕,203
3696,做大,203
3697,整尬,203
3698,抹布,202
3699,拍个,202
3700,巴适,202
3701,板,202
3702,脸大,202
3703,卖贵,202
3704,讚,202
3705,糖色,202
3706,腼腆,202
3707,人贼,202
3708,合肥,202
3709,少见,202
3710,两口儿,202
3711,见效快,202
3712,青楼,201
3713,排除,201
3714,满屏,201
3715,街霸,201
3716,语言,201
3717,平,201
3718,湘潭,201
3719,吸满,201
3720,夹馍,201
3721,撕,201
3722,李荣浩,201
3723,点扣,201
3724,原先,201
3725,布长,201
3726,众人,201
3727,拾材,201
3728,火焰,201
3729,不要脸,201
3730,碎,201
3731,尼基,201
3732,倆,201
3733,姊妹,201
3734,乡,200
3735,老街坊,200
3736,渡过难关,200
3737,yellow,200
3738,ppy,200
3739,抬,200
3740,多肉,200
3741,溜出来,200
3742,记,200
3743,要考,200
3744,兔瓣,200
3745,几头,200
3746,白果,200
3747,能嗦,200
3748,思念,200
3749,带丝,200
3750,烫烫,200
3751,庆祝,200
3752,地理,200
3753,豆包,200
3754,梗子,200
3755,咱是,200
3756,漱,200
3757,盐水,200
3758,天妇,200
3759,罗,200
3760,囤,200
3761,懂个,200
3762,五福,200
3763,包去,200
3764,三阳,200
3765,淘气,200
3766,灰,200
3767,童鞋,200
3768,留意,200
3769,水焯,200
3770,很淦,200
3771,这集入,200
3772,锁骨,200
3773,卤人,200
3774,逃不掉,200
3775,蒸笼,199
3776,传过去,199
3777,造孽,199
3778,鸡排,199
3779,十箱,199
3780,我白,199
3781,主菜,199
3782,板筋,199
3783,很久以前,199
3784,全街,199
3785,读作,199
3786,咸宁,199
3787,要炖,199
3788,同理,199
3789,外加,199
3790,袜,199
3791,第几次,199
3792,八车,199
3793,干饭,199
3794,四妹,199
3795,丧,199
3796,天良,199
3797,堆得,199
3798,尖尖,199
3799,儋州,199
3800,围嘴,199
3801,南通,199
3802,鳝片,199
3803,关谷,199
3804,在线,198
3805,诱人,198
3806,注册商标,198
3807,记下来,198
3808,暴躁,198
3809,想来,198
3810,江夏,198
3811,热炸,198
3812,发布,198
3813,长脚,198
3814,米面,198
3815,我读,198
3816,交警大队,198
3817,后劲,198
3818,外公,198
3819,侮辱,198
3820,小姨,198
3821,好极了,198
3822,土豪,198
3823,我來,198
3824,要配,198
3825,点好,198
3826,大福,198
3827,夺笋,198
3828,断子绝孙,198
3829,白叫,198
3830,周知,198
3831,画质,197
3832,瞧瞧,197
3833,吃水果,197
3834,反驳,197
3835,维他,197
3836,po,197
3837,这份,197
3838,武漢,197
3839,一节,197
3840,休息,197
3841,卤干子,197
3842,卤鸡,197
3843,说完,197
3844,差劲,197
3845,点热,197
3846,无感,197
3847,面前,197
3848,麽,197
3849,清辣少,197
3850,乍一看,197
3851,姚姚,197
3852,老惨,197
3853,这汤,197
3854,缺碗,197
3855,巷长,197
3856,巷狗,197
3857,人缘,197
3858,混熟,197
3859,没喝,197
3860,酸辣粉,196
3861,多大,196
3862,首尾呼应,196
3863,没钱,196
3864,葱,196
3865,糟糕,196
3866,香蕉,196
3867,奶,196
3868,化州,196
3869,五花肉,196
3870,缺个,196
3871,np,196
3872,悠然,196
3873,李子,196
3874,总算,196
3875,这乳菜,196
3876,保国,196
3877,那碗,196
3878,长时间,196
3879,家族,196
3880,产业,196
3881,没洗,196
3882,关心,196
3883,价钱,196
3884,真挺爽,196
3885,口角,196
3886,袁,196
3887,推广,195
3888,满满,195
3889,稀少,195
3890,家暴,195
3891,空头,195
3892,社是,195
3893,偷肉,195
3894,社团,195
3895,类目,195
3896,给爷,195
3897,离家出走,195
3898,发胖,195
3899,帽,195
3900,好汁,195
3901,尾汁,195
3902,人读,195
3903,包租婆,195
3904,和平,195
3905,小货,195
3906,财华,195
3907,欺负,195
3908,特辣,195
3909,歪嘴,194
3910,开车,194
3911,虾仁,194
3912,猪心,194
3913,卡车,194
3914,烧心,194
3915,HAHAHH,194
3916,HHAHHA,194
3917,膏儿,194
3918,闻人,194
3919,聚,194
3920,诸神,194
3921,回避,194
3922,糯藕才,194
3923,HHHHHHHHHH,194
3924,ya,194
3925,掉色,194
3926,游,194
3927,制作,194
3928,真看,194
3929,家长,194
3930,子开,194
3931,小巷,193
3932,太牛,193
3933,同步,193
3934,段,193
3935,做长,193
3936,得了吧,193
3937,厌恶,193
3938,默契,193
3939,来事,193
3940,义,193
3941,二斤,193
3942,战神,193
3943,里流,193
3944,酒店,193
3945,浓郁,193
3946,冷冻,193
3947,小肥,193
3948,手儿,193
3949,拼,193
3950,蚁力神,193
3951,挤牙膏,193
3952,竞争对手,193
3953,说多加,193
3954,长久,193
3955,打拳,193
3956,多少倍,193
3957,雾,193
3958,四面八方,193
3959,槟榔,193
3960,没渣,193
3961,金湘玉,193
3962,买闻味,193
3963,酱油,193
3964,调味品,193
3965,可恶,193
3966,手绢,192
3967,出镜,192
3968,太爱,192
3969,这大,192
3970,砖头,192
3971,扫地出门,192
3972,怪怪的,192
3973,混吃,192
3974,脚趾,192
3975,抠出,192
3976,三室一厅,192
3977,耨,192
3978,牛羊肉,192
3979,世外桃源,192
3980,父辈,192
3981,开裆裤,192
3982,回锅肉,192
3983,运算,192
3984,包烟,192
3985,饿得,192
3986,伍,192
3987,六七,192
3988,直呼,192
3989,内行,192
3990,救活,192
3991,吸溜,192
3992,咱来,192
3993,咱封校,192
3994,ahciba,192
3995,第三颗,192
3996,这蒜长,192
3997,抽搐,192
3998,吐酸,192
3999,活在,192
4000,鼓楼,191
4001,康康,191
4002,太好,191
4003,绝味,191
4004,消失,191
4005,本土,191
4006,哈尔滨,191
4007,冀菜,191
4008,太毒,191
4009,劲大,191
4010,面泡,191
4011,还开,191
4012,心痛,191
4013,打赤膊,191
4014,赤膊,191
4015,注定,191
4016,暗恋,191
4017,无限,191
4018,小贝,191
4019,傻牛,191
4020,目测,190
4021,一堆,190
4022,戳,190
4023,捞,190
4024,心愿,190
4025,萌牙家,190
4026,能涂满,190
4027,要说,190
4028,宝藏,190
4029,毫不犹豫,190
4030,不嫉妒,190
4031,日前,190
4032,独蒜贵,190
4033,好笑,190
4034,baic,190
4035,ba,190
4036,动漫,190
4037,躲,190
4038,爱有,190
4039,珍爱,190
4040,阿强,190
4041,大橘,190
4042,胸包,190
4043,这嘴,190
4044,香港,190
4045,老天,190
4046,籟,190
4047,想家,189
4048,西餐,189
4049,解腻,189
4050,小粉,189
4051,留步,189
4052,慢点,189
4053,外国,189
4054,热热闹闹,189
4055,先前,189
4056,刁過,189
4057,明示,189
4058,体育,189
4059,毕业生,189
4060,陈某,189
4061,吞瑞特,189
4062,岁数,189
4063,低龄,189
4064,小心眼,189
4065,异类,189
4066,我心,189
4067,7s,189
4068,狠辣,189
4069,我爱粉,189
4070,美美,189
4071,上扬,189
4072,冷酸灵,189
4073,送货,189
4074,ch,189
4075,粉才,189
4076,王道,189
4077,古镇,189
4078,完下,189
4079,堕落街,189
4080,放不开,189
4081,手脚,189
4082,开放,188
4083,耗子,188
4084,一亿,188
4085,基本操作,188
4086,活泼,188
4087,老爷们儿,188
4088,敬上,188
4089,食材,188
4090,清淡,188
4091,互联网,188
4092,刻不容缓,188
4093,太靓,188
4094,忍着,188
4095,忍,188
4096,剑,188
4097,仙味,188
4098,烟斗,188
4099,拐音,188
4100,半锅,188
4101,做广告,188
4102,般配,188
4103,河西村,188
4104,迎江区,188
4105,善心,188
4106,帮会,188
4107,汉武帝,188
4108,输过,188
4109,猪血,188
4110,牛油,188
4111,我怕,187
4112,没得,187
4113,胃痛,187
4114,鱿鱼,187
4115,烧卖,187
4116,甜到,187
4117,绝望,187
4118,迪奥,187
4119,念叨,187
4120,菜品,187
4121,专做,187
4122,精,187
4123,拍到,187
4124,发可,187
4125,那地,187
4126,吊子,187
4127,帼,187
4128,拉滴,187
4129,用心,186
4130,祖上,186
4131,基因,186
4132,强大,186
4133,上瘾,186
4134,戴着,186
4135,星月,186
4136,菩提,186
4137,装,186
4138,口袋,186
4139,好几片,186
4140,嗍,186
4141,啫,186
4142,直播,185
4143,原地,185
4144,粉店,185
4145,不高,185
4146,真逗,185
4147,海带,185
4148,考研,185
4149,蜡像,184
4150,還是,184
4151,露出,184
4152,围笑,184
4153,使劲,184
4154,往死,184
4155,吃点,183
4156,抱歉,183
4157,热血,183
4158,這個,183
4159,確實,183
4160,塊,183
4161,對,183
4162,鳥,183
4163,羅,183
4164,湘,183
4165,粤,183
4166,那個,183
4167,怎樣,183
4168,博弈论,183
4169,做客,183
4170,沒,183
4171,小龍,183
4172,蝦,183
4173,不曉得,183
4174,秋天,183
4175,大閘蟹,183
4176,趕得,183
4177,上麼,183
4178,我覺,183
4179,馬,183
4180,應龍,183
4181,狗頭,183
4182,用开,183
4183,噻露,183
4184,巷好,183
4185,生蒜次,183
4186,内种,183
4187,娃子,182
4188,送来,182
4189,萝北,182
4190,撤销,182
4191,大使馆,182
4192,膀子,182
4193,之城,182
4194,回明,182
4195,滴滴,182
4196,口吃,182
4197,床单,182
4198,不来,181
4199,那肉,181
4200,惊现,181
4201,安逸,181
4202,拖鞋,181
4203,学沐上,181
4204,溪,181
4205,老鼠,181
4206,阿迪,181
4207,潮人,181
4208,绵竹,181
4209,复苏,181
4210,拍片,181
4211,日记,181
4212,深吸,181
4213,电脑配件,181
4214,呆,180
4215,握草,180
4216,肉夹馍,180
4217,村,180
4218,犹豫不决,180
4219,截图,180
4220,,180
4221,ilil,180
4222,产藕多,180
4223,两人点,180
4224,肖记,180
4225,酒彪子,180
4226,老色痞,180
4227,比价,180
4228,照片,179
4229,观猴,179
4230,十栋,179
4231,风味,179
4232,墙皮,179
4233,价了,179
4234,点点,179
4235,太近,179
4236,白色,179
4237,说句,179
4238,巷成,179
4239,当饭,179
4240,别提,179
4241,暂时,179
4242,吃不上,179
4243,更甜,179
4244,浙大,179
4245,顿顿,179
4246,优惠,179
4247,微辣渣,179
4248,要香,179
4249,瞄一哈,179
4250,恩恩额,179
4251,错觉,179
4252,庙街,179
4253,粮,179
4254,问去,179
4255,肥,178
4256,鬼才,178
4257,港剧,178
4258,宫,178
4259,卖好,178
4260,几桌,178
4261,计谋,178
4262,价高,178
4263,广丰县,178
4264,不尿,178
4265,桂子山,178
4266,回甘,178
4267,坐等,178
4268,香脆,178
4269,棒极了,178
4270,后安粉,178
4271,神乎其技,178
4272,刀法,178
4273,一闪而过,178
4274,沐沐乖,178
4275,尝一尝,178
4276,寄给,178
4277,选前,178
4278,问价,178
4279,停不下来,178
4280,人类,178
4281,一回,178
4282,要选,178
4283,选肉,178
4284,杂面,177
4285,摘,177
4286,河南人,177
4287,翠萍,177
4288,违和感,177
4289,闻不太到,177
4290,九省,177
4291,通衢,177
4292,两倍,177
4293,里边,177
4294,大姐,176
4295,美团,176
4296,不买,176
4297,强推,176
4298,舌尖,176
4299,证明,176
4300,制杖,176
4301,外网,176
4302,编,176
4303,营销,176
4304,一转,176
4305,管理水平,176
4306,有屁,176
4307,成天,176
4308,加戏,176
4309,两车,176
4310,做法,175
4311,这件,175
4312,来袭,175
4313,凉面,174
4314,样,174
4315,冲冲,174
4316,发色,174
4317,这太,174
4318,最最,174
4319,根源,174
4320,卤藕赛,174
4321,站住脚,174
4322,第一站,174
4323,传统,173
4324,蜜,173
4325,驴肉,173
4326,细,172
4327,一点半,172
4328,快去,172
4329,智慧,172
4330,走出,172
4331,聋,172
4332,营养,172
4333,嘴不辣,172
4334,堤角,172
4335,恐,172
4336,惧,172
4337,证,172
4338,省,172
4339,鼻梁,172
4340,皱纹,172
4341,送礼物,171
4342,华,171
4343,组织,171
4344,歪头,171
4345,大安,171
4346,长命百岁,171
4347,头油,171
4348,集群,171
4349,利马,171
4350,特制,171
4351,哈撒女,171
4352,吓一跳,171
4353,妙处,171
4354,可远,171
4355,二声,171
4356,三声,171
4357,高个,171
4358,三鲜,170
4359,好几下,170
4360,卖完,170
4361,冠状病毒,170
4362,促,170
4363,鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅鹅,170
4364,饿鹅鹅鹅鹅鹅鹅鹅鹅鹅,170
4365,右撇子,170
4366,阅文霸款,170
4367,五月份,170
4368,会上,170
4369,二两,170
4370,边走边吃,170
4371,可然,170
4372,游击,170
4373,士,170
4374,佩服,169
4375,热爱,169
4376,头蒜,169
4377,腾讯,169
4378,签约,169
4379,吴承恩,169
4380,钟老,169
4381,开时,169
4382,上口,169
4383,红色,169
4384,监利,169
4385,再也不会,169
4386,礼仪,169
4387,雅,169
4388,一百八,169
4389,欧一吸,169
4390,西,168
4391,互吹,168
4392,锅仔,168
4393,人整,168
4394,遵义,168
4395,告知,168
4396,风光,168
4397,太少,168
4398,老话,168
4399,配份,168
4400,哈儿,168
4401,定力,168
4402,杜小月,167
4403,沾,167
4404,打底,167
4405,惊艳,167
4406,四座,167
4407,最爽,167
4408,码,167
4409,水乡,167
4410,先别,167
4411,顺丰,167
4412,地区,167
4413,肉食动物,167
4414,自发,167
4415,大规模,167
4416,无关,167
4417,情分,167
4418,增长,167
4419,吸油,167
4420,辣椒酱,167
4421,温州人,167
4422,气好,167
4423,这得,166
4424,隐藏,166
4425,✌,166
4426,粉加,166
4427,世间,166
4428,罕见,166
4429,十月,166
4430,一去,166
4431,苏州人,166
4432,我蛮,166
4433,无所畏惧,165
4434,乌鸦,165
4435,喝水,165
4436,nG,165
4437,安静,165
4438,恨,165
4439,忍住,165
4440,死亡,165
4441,欢乐,165
4442,宴会,165
4443,唠,165
4444,录完,165
4445,总点,165
4446,这锅,165
4447,GG,165
4448,谈到,165
4449,烂烂,165
4450,占,164
4451,一言难尽,164
4452,灵性,164
4453,碗饭,164
4454,粉藕超,164
4455,dj,164
4456,没吃够,164
4457,肌肉,164
4458,｡,164
4459,快卖,164
4460,多要,164
4461,达拉,164
4462,班,164
4463,贝蒂卜多,164
4464,比噜,164
4465,翁,164
4466,起床,164
4467,闹钟,164
4468,冷面,164
4469,五月节,164
4470,八月节,164
4471,解放,164
4472,币,164
4473,看得出,164
4474,黑狗,163
4475,面条,163
4476,播音,163
4477,身残志坚,163
4478,举爪,163
4479,呲,163
4480,最辣,163
4481,肛,162
4482,受,162
4483,字,162
4484,麻鸭,162
4485,神似,162
4486,WDNMD,162
4487,值,162
4488,打击,162
4489,祸,162
4490,民间,162
4491,生活秀,162
4492,拍摄地,162
4493,夜晚,162
4494,会长,162
4495,很胖,162
4496,还拿个,162
4497,热菜,162
4498,兑冰,162
4499,大宝,162
4500,咋行,162
4501,宝鸡,162
4502,街道口,162
4503,走起,162
4504,余承东,162
4505,妻子,162
4506,丈夫,162
4507,配乐,162
4508,专坑,162
4509,话管,162
4510,靠近,162
4511,江边,162
4512,鹵,162
4513,面筋,161
4514,长胖,161
4515,黄酒,161
4516,嗓子,161
4517,谈恋爱,161
4518,大脸,161
4519,恰到,161
4520,乘凉,161
4521,打死,161
4522,毛,161
4523,别圆,161
4524,路见不平,161
4525,菜系,161
4526,油豆腐,161
4527,扶欢,161
4528,越久越,161
4529,奶粉,161
4530,肉类,161
4531,菠萝,161
4532,这支,161
4533,三十年,161
4534,风风火火,161
4535,食卜,161
4536,海皇,161
4537,七月,161
4538,七日,161
4539,气中,161
4540,体现,161
4541,淋漓尽致,161
4542,咸淡,161
4543,拍电影,161
4544,肿,160
4545,巷烤,160
4546,挺辣,160
4547,当初,160
4548,秀,160
4549,五百,160
4550,女婿,160
4551,索粉,160
4552,笑出,160
4553,猪叫,160
4554,逗死,160
4555,型,160
4556,炒鸡,160
4557,店子,160
4558,蛋糕,160
4559,含氟,160
4560,东成西就,160
4561,凯文,160
4562,体,160
4563,象征性,160
4564,蹦迪,160
4565,人去,160
4566,盟重,160
4567,彭,160
4568,彭酱,160
4569,段子,160
4570,人像,160
4571,遗言,160
4572,模子,160
4573,嗓门,160
4574,公开,160
4575,处刑,160
4576,烧腊,160
4577,好美,160
4578,炸鸡,160
4579,蛮多,160
4580,标配,160
4581,变样,160
4582,能干,160
4583,☹,160
4584,撵走,160
4585,雷达,160
4586,要加,160
4587,破梗,160
4588,过想,160
4589,武骗,160
4590,做肉,160
4591,处,160
4592,说得对,160
4593,泰阿,160
4594,看个,160
4595,D,160
4596,板儿,160
4597,横沥汤,160
4598,旺,160
4599,华中农业大学,160
4600,捎,160
4601,这粉,160
4602,铅山县,160
4603,带秀,160
4604,郭德纲,160
4605,几十斤,160
4606,非战斗,160
4607,人员,160
4608,撤离,160
4609,哑,160
4610,一类,160
4611,多贵,160
4612,一两百,160
4613,巾,160
4614,附带,160
4615,垄断,160
4616,欺行霸市,160
4617,知识,160
4618,上化,160
4619,过装,160
4620,乱立,160
4621,肚脐,160
4622,卡点,160
4623,问圆粉,160
4624,扁粉,160
4625,发明,160
4626,广西南宁,160
4627,横县,160
4628,街庆,160
4629,冇,159
4630,现场直播,159
4631,辣哭,159
4632,校区,159
4633,宰客,159
4634,超帅,159
4635,保成,159
4636,过生日,159
4637,好近,159
4638,封面,159
4639,卤本伟,159
4640,有生,159
4641,怂,159
4642,必带,159
4643,蛤,159
4644,没头脑,159
4645,拍叭,159
4646,东湖,159
4647,醒醒,159
4648,鸡香,159
4649,圆粉,159
4650,病,159
4651,很能,159
4652,两字,159
4653,阔以,159
4654,买米,159
4655,骑着,159
4656,心爱,159
4657,摩托,159
4658,长脸,159
4659,豆,159
4660,太扎心,159
4661,蛋酒,159
4662,导致,159
4663,雪羽,159
4664,总得,159
4665,血亏,159
4666,瑶族,159
4667,艾欧,159
4668,顶起,159
4669,河源,159
4670,霸王花,159
4671,异地,159
4672,恋,159
4673,农家,159
4674,收着,159
4675,不卖,159
4676,咸重,159
4677,不重,159
4678,热出,159
4679,前提,159
4680,不出,159
4681,这味,159
4682,中毒,159
4683,颍,159
4684,做油,159
4685,热食,159
4686,试图,159
4687,惊诧,159
4688,家炖,159
4689,斩,159
4690,男色,159
4691,红手,159
4692,哪期,159
4693,随手,159
4694,要钱,159
4695,猴儿,159
4696,喂食,159
4697,真多,159
4698,大省,159
4699,合种,159
4700,你妹,159
4701,炫耀,159
4702,家庄,159
4703,弃,159
4704,肉食,159
4705,交通,159
4706,高铁,159
4707,咋闻,159
4708,青皮,159
4709,社入,159
4710,一丝,159
4711,两人长,159
4712,饿狼,159
4713,好哇,159
4714,忸,159
4715,采访,159
4716,几栋,159
4717,那俩,159
4718,帅哥美女,159
4719,巨多,159
4720,琵琶,159
4721,心肌梗塞,159
4722,财税,159
4723,卖东西,159
4724,大学生,159
4725,翻译,159
4726,笑点,159
4727,脱口秀,159
4728,潇洒,159
4729,显示屏,159
4730,瀑布,159
4731,自动,159
4732,一段,159
4733,越炖,159
4734,掏空,159
4735,白过,159
4736,蹦个,159
4737,迪叭,159
4738,斯,159
4739,大众,159
4740,aileaile,159
4741,卤够,159
4742,一笔,159
4743,熬过去,159
