,词语,次数
805,手指,1085
806,米线,1081
807,恐惧,1080
808,人丑,1080
809,天天,1079
810,尝尝,1078
811,门洞,1078
812,我信,1077
813,结账,1076
814,人真,1076
815,回去,1075
816,美好,1075
817,记住,1070
818,出名,1070
819,千万别,1068
820,炸,1067
821,发,1067
822,好大,1067
823,干嘛,1067
824,馒头,1066
825,掰,1066
826,想回,1065
827,湖多,1064
828,默默,1063
829,迷惑,1063
830,周黑,1061
831,过半,1058
832,他家,1056
833,左手,1056
834,狠,1055
835,才华,1054
836,牌面,1051
837,豪爽,1050
838,扔,1047
839,老同志,1047
840,汗,1043
841,化妆,1042
842,战术,1039
843,一碗,1038
844,帮,1036
845,担心,1035
846,皮,1035
847,多年,1035
848,华科,1029
849,耶,1028
850,惊,1028
851,太多,1025
852,一锅,1024
853,羊肉,1024
854,chou,1022
855,一盆,1022
856,表情,1019
857,上贡,1016
858,嘴,1015
859,喷,1013
860,眼神,1012
861,姥姥家,1012
862,咬,1008
863,受不了,1006
864,社恐,1006
865,不争气,1004
866,成,1001
867,正宗,999
868,牙龈,998
869,还会,998
870,发生,996
871,天呐,995
872,出血,995
873,老杆,995
874,神仙,993
875,好好看,992
876,深圳,991
877,荆州,987
878,漂亮,986
879,麻木,985
880,安排,983
881,粉来,983
882,嘴里,983
883,白给,983
884,小妹,982
885,很难,981
886,摄像师,981
887,天津,980
888,姐姐,980
889,硚口,980
890,老家,977
891,o,976
892,细粉,974
893,生意,973
894,几岁,970
895,侮辱性,970
896,极强,970
897,我能,969
898,更好,969
899,社交,969
900,口腔,963
901,擦汗,960
902,女士,958
903,超棒,956
904,终于,955
905,足,955
906,汁,954
907,进,953
908,江小白,953
909,汉,953
910,喝大,953
911,世界,951
912,硬核,950
913,过分,950
914,动物园,949
915,结婚,948
916,店里,946
917,是从,944
918,音乐,944
919,芳芳,941
920,屏幕,940
921,分泌,938
922,女,938
923,冬瓜,937
924,这有,934
925,牛批,932
926,热情好客,931
927,姐妹,929
928,门口,928
929,和气生财,928
930,把子,927
931,武汉大学,926
932,麻辣烫,926
933,美味,926
934,切手,926
935,酸,925
936,价,924
937,刀,923
938,爷,923
939,番茄,922
940,奶奶,921
941,效果,920
942,貌,915
943,有家,913
944,隔,912
945,想要,906
946,疯狂,905
947,盆,905
948,同学,905
949,粉丝,904
950,千湖,903
951,轨迹,899
952,护体,899
953,街上,898
954,ti,897
955,猪猪,895
956,镜头,893
957,赚,893
958,版,893
959,换个,893
960,烟掉,891
961,对面,890
962,九孔,888
963,义烈,887
964,眼里,887
965,到手,886
966,好久没,886
967,锅里,886
968,能闻,885
969,底下,884
970,可燃冰,884
971,这块,883
972,空之,882
973,金乡,880
974,疯,880
975,喝高,877
976,人太,877
977,炖牛肉,877
978,硬,875
979,苦,875
980,必去,875
981,黑店,874
982,码头,873
983,拉面,872
984,很大,872
985,动,872
986,做梦,872
987,无缘,870
988,莫名,867
989,慕了,867
990,肾宝,866
991,猫猫,866
992,鸡,865
993,充满,865
994,菜单,865
995,凌晨,864
996,委婉,863
997,害,861
998,臭豆腐,860
999,那位,860
1000,黑,860
1001,帅哥,860
1002,场景,859
1003,坑人,858
1004,内蒙,858
1005,搁,857
1006,报到,856
1007,玉山,856
1008,友善,854
1009,很帅,852
1010,sw,852
1011,一种,851
1012,tm,851
1013,地址,850
1014,同事,850
1015,挺好吃,849
1016,妹,848
1017,醉,846
1018,打开,844
1019,博山,843
1020,礼物,841
1021,大头,839
1022,市井,837
1023,冷,837
1024,红,837
1025,做菜,836
1026,爆,835
1027,煲汤,835
1028,亲人,834
1029,一桌,834
1030,太有,832
1031,昨天,829
1032,右手,829
1033,生吃,828
1034,划,828
1035,先,827
1036,剁,827
1037,完吐,827
1038,孝感,824
1039,粉粉,824
1040,一会儿,824
1041,回顾,823
1042,可有,822
1043,大儿子,822
1044,真心,822
1045,食藕瘦,821
1046,共赢,821
1047,糖,821
1048,清楼,819
1049,蹭,819
1050,背景,817
1051,菜市场,817
1052,康师傅,815
1053,夜宵,813
1054,拿刀,813
1055,转,813
1056,大一锅,812
1057,卤粉,811
1058,产,811
1059,锤子,810
1060,牙,809
1061,吃不完,804
1062,不过如此,804
1063,意料之中,801
1064,丸,800
1065,水,797
1066,点赞,797
1067,没事,796
1068,鲁菜,796
1069,早,796
1070,泡泡龙,796
1071,踩,795
1072,十八,795
1073,相机,794
1074,雷,794
1075,真滴,793
1076,一条,792
1077,不惯,792
1078,夏威夷,792
1079,果,792
1080,错,791
1081,素菜,789
1082,五个,789
1083,一大,788
1084,功能,788
1085,书,787
1086,美,786
1087,湖,786
1088,期,785
1089,常见,785
1090,不像,783
1091,加油站,783
1092,做生意,783
1093,一批,782
1094,出门,781
1095,钱枫,781
1096,九头鸟,781
1097,性格,781
1098,小心,779
1099,闪,777
1100,来个,777
1101,哪吒,776
1102,欸,775
1103,救命,773
1104,太行,773
1105,介绍,773
1106,请求,773
1107,漱口水,772
1108,好会,771
1109,感慨,771
1110,背后,770
1111,难言之隐,770
1112,县城,770
1113,倍速,770
1114,妙,767
1115,当年,766
1116,人别,765
1117,一辈子,764
1118,啤酒,764
1119,根,762
1120,标题,759
1121,新冠,758
1122,蒜瓣,756
1123,农夫山泉,755
1124,历史,751
1125,讲,749
1126,同志,749
1127,家乡话,749
1128,吃饱,748
1129,实诚,748
1130,哥,748
1131,景德镇,746
1132,气味,745
1133,吸,744
1134,莲菜,744
1135,一家人,744
1136,n,744
1137,对不起,742
1138,毛病,741
1139,友好,741
